created_at,temp,hum,p25,p10
NaT,24,72.4,0.1,0.1
NaT,24,72.5,0.1,0.1
NaT,23.7,72.2,0.1,0.1
NaT,23.7,72.2,0.1,0.1
NaT,23.8,71.7,0.1,0.1
NaT,23.8,71.7,0.1,0.1
NaT,23.8,71.6,0.1,0.1
NaT,23.9,71.7,0.1,0.1
NaT,23.8,71.6,0.1,0.1
NaT,23.7,69.4,0.1,0.1
NaT,23.9,65.9,0.1,0.1
NaT,23.9,65.8,0.1,0.1
NaT,23.9,65.8,0.1,0.1
NaT,23.9,65.8,0.1,0.1
NaT,24,65.7,0.1,0.1
NaT,23.9,65.7,0.1,0.1
NaT,23.9,65.6,0.1,0.1
NaT,24,65.7,0.1,0.1
NaT,24,65.2,0.1,0.1
NaT,24,65.3,0.1,0.1
NaT,24,65.3,0.1,0.1
NaT,24,65.3,0.1,0.1
NaT,24,65.3,0.1,0.1
NaT,24,65.3,0.1,0.1
NaT,24,65.3,0.1,0.1
NaT,24,65.3,0.1,0.1
NaT,24,65.2,0.1,0.1
NaT,24.1,65.2,0.1,0.1
NaT,24.1,65.1,0.1,0.1
NaT,24.1,65.1,0.1,0.1
NaT,24.1,65.1,0.1,0.1
NaT,24,65.1,0.1,0.1
NaT,24.1,65.2,0.1,0.1
NaT,24,65.1,0.1,0.1
NaT,24,65.2,0.1,0.1
NaT,24.1,65.2,0.1,0.1
NaT,24,65,0.1,0.1
NaT,24,65,0.1,0.1
NaT,24.1,64.8,0.1,0.1
NaT,24.1,64.8,0.1,0.1
NaT,24.1,64.8,0.1,0.1
NaT,24,65,0.1,0.1
NaT,24,65,0.1,0.1
NaT,24,65,0.1,0.1
NaT,24.1,65.1,0.1,0.1
NaT,23.9,65.4,0.1,0.1
NaT,23.9,65.5,0.1,0.1
NaT,23.9,65.5,0.1,0.1
NaT,23.9,65.5,0.1,0.1
NaT,23.9,65.5,0.1,0.1
NaT,24,65.7,0.1,0.1
NaT,23.9,65.3,0.1,0.1
NaT,23.8,66.2,0.1,0.1
NaT,23.8,66.2,0.1,0.1
NaT,23.8,66.2,0.1,0.1
NaT,23.9,65.9,0.1,0.1
NaT,23.9,65.8,0.1,0.1
NaT,23.9,65.8,0.1,0.1
NaT,23.9,65.8,0.1,0.1
NaT,23.8,65.8,0.1,0.1
NaT,23.8,65.9,0.1,0.1
NaT,23.8,66,0.1,0.1
NaT,23.8,65.8,0.1,0.1
NaT,23.8,65.8,0.1,0.1
NaT,23.9,65.9,0.1,0.1
NaT,23.8,65.8,0.1,0.1
NaT,24,65.7,0.1,0.1
NaT,23.9,65.6,0.1,0.1
NaT,23.9,65.5,0.1,0.1
NaT,24,65.6,0.1,0.1
NaT,23.9,65.5,0.1,0.1
NaT,24,65.6,0.1,0.1
NaT,24,65.6,0.1,0.1
NaT,24,65.7,0.1,0.1
NaT,23.9,65.9,0.1,0.1
NaT,23.2,64.2,0.1,0.1
NaT,23.5,61.5,0.1,0.1
NaT,23.5,61.4,0.1,0.1
NaT,23.6,61.8,0.1,0.1
